timestamp_us	,x	,y	,z	,type
3553837183000000,0.100000,-9.800000,0.200000,accel
3553837183000000,0.001000,0.002000,0.003000,gyro
3553837183001000,0.100000,-9.800000,0.200000,accel
3553837183001000,0.001000,0.002000,0.003000,gyro
3553837183002000,0.100000,-9.800000,0.200000,accel
3553837183002000,0.001000,0.002000,0.003000,gyro
3553837183003000,0.100000,-9.800000,0.200000,accel
3553837183003000,0.001000,0.002000,0.003000,gyro
3553837183004000,0.100000,-9.800000,0.200000,accel
3553837183004000,0.001000,0.002000,0.003000,gyro
3553837183005000,0.100000,-9.800000,0.200000,accel
3553837183005000,0.001000,0.002000,0.003000,gyro
3553837183006000,0.100000,-9.800000,0.200000,accel
3553837183006000,0.001000,0.002000,0.003000,gyro
3553837183007000,0.100000,-9.800000,0.200000,accel
3553837183007000,0.001000,0.002000,0.003000,gyro
3553837183008000,0.100000,-9.800000,0.200000,accel
3553837183008000,0.001000,0.002000,0.003000,gyro
3553837183009000,0.100000,-9.800000,0.200000,accel
3553837183009000,0.001000,0.002000,0.003000,gyro
3553837183010000,0.100000,-9.800000,0.200000,accel
3553837183010000,0.001000,0.002000,0.003000,gyro
3553837183011000,0.100000,-9.800000,0.200000,accel
3553837183011000,0.001000,0.002000,0.003000,gyro
3553837183012000,0.100000,-9.800000,0.200000,accel
3553837183012000,0.001000,0.002000,0.003000,gyro
3553837183013000,0.100000,-9.800000,0.200000,accel
3553837183013000,0.001000,0.002000,0.003000,gyro
3553837183014000,0.100000,-9.800000,0.200000,accel
3553837183014000,0.001000,0.002000,0.003000,gyro
3553837183015000,0.100000,-9.800000,0.200000,accel
3553837183015000,0.001000,0.002000,0.003000,gyro
3553837183016000,0.100000,-9.800000,0.200000,accel
3553837183016000,0.001000,0.002000,0.003000,gyro
3553837183017000,0.100000,-9.800000,0.200000,accel
3553837183017000,0.001000,0.002000,0.003000,gyro
3553837183018000,0.100000,-9.800000,0.200000,accel
3553837183018000,0.001000,0.002000,0.003000,gyro
3553837183019000,0.100000,-9.800000,0.200000,accel
3553837183019000,0.001000,0.002000,0.003000,gyro
3553837183020000,0.100000,-9.800000,0.200000,accel
3553837183020000,0.001000,0.002000,0.003000,gyro
3553837183021000,0.100000,-9.800000,0.200000,accel
3553837183021000,0.001000,0.002000,0.003000,gyro
3553837183022000,0.100000,-9.800000,0.200000,accel
3553837183022000,0.001000,0.002000,0.003000,gyro
3553837183023000,0.100000,-9.800000,0.200000,accel
3553837183023000,0.001000,0.002000,0.003000,gyro
3553837183024000,0.100000,-9.800000,0.200000,accel
3553837183024000,0.001000,0.002000,0.003000,gyro
3553837183025000,0.100000,-9.800000,0.200000,accel
3553837183025000,0.001000,0.002000,0.003000,gyro
3553837183026000,0.100000,-9.800000,0.200000,accel
3553837183026000,0.001000,0.002000,0.003000,gyro
3553837183027000,0.100000,-9.800000,0.200000,accel
3553837183027000,0.001000,0.002000,0.003000,gyro
3553837183028000,0.100000,-9.800000,0.200000,accel
3553837183028000,0.001000,0.002000,0.003000,gyro
3553837183029000,0.100000,-9.800000,0.200000,accel
3553837183029000,0.001000,0.002000,0.003000,gyro
3553837183030000,0.100000,-9.800000,0.200000,accel
3553837183030000,0.001000,0.002000,0.003000,gyro
3553837183031000,0.100000,-9.800000,0.200000,accel
3553837183031000,0.001000,0.002000,0.003000,gyro
3553837183032000,0.100000,-9.800000,0.200000,accel
3553837183032000,0.001000,0.002000,0.003000,gyro
3553837183033000,0.100000,-9.800000,0.200000,accel
