timestamp_us	,x	,y	,z	,type
1786611600000000,0.100000,-9.800000,0.200000,accel
1786611600000000,0.001000,0.002000,0.003000,gyro
1786611600002000,0.100000,-9.800000,0.200000,accel
1786611600002000,0.001000,0.002000,0.003000,gyro
1786611600004000,0.100000,-9.800000,0.200000,accel
1786611600004000,0.001000,0.002000,0.003000,gyro
1786611600006000,0.100000,-9.800000,0.200000,accel
1786611600006000,0.001000,0.002000,0.003000,gyro
1786611600008000,0.100000,-9.800000,0.200000,accel
1786611600008000,0.001000,0.002000,0.003000,gyro
1786611600010000,0.100000,-9.800000,0.200000,accel
1786611600010000,0.001000,0.002000,0.003000,gyro
1786611600012000,0.100000,-9.800000,0.200000,accel
1786611600012000,0.001000,0.002000,0.003000,gyro
1786611600014000,0.100000,-9.800000,0.200000,accel
1786611600014000,0.001000,0.002000,0.003000,gyro
1786611600016000,0.100000,-9.800000,0.200000,accel
1786611600016000,0.001000,0.002000,0.003000,gyro
1786611600018000,0.100000,-9.800000,0.200000,accel
1786611600018000,0.001000,0.002000,0.003000,gyro
1786611600020000,0.100000,-9.800000,0.200000,accel
1786611600020000,0.001000,0.002000,0.003000,gyro
1786611600022000,0.100000,-9.800000,0.200000,accel
1786611600022000,0.001000,0.002000,0.003000,gyro
1786611600024000,0.100000,-9.800000,0.200000,accel
1786611600024000,0.001000,0.002000,0.003000,gyro
1786611600026000,0.100000,-9.800000,0.200000,accel
1786611600026000,0.001000,0.002000,0.003000,gyro
1786611600028000,0.100000,-9.800000,0.200000,accel
1786611600028000,0.001000,0.002000,0.003000,gyro
1786611600030000,0.100000,-9.800000,0.200000,accel
1786611600030000,0.001000,0.002000,0.003000,gyro
1786611600032000,0.100000,-9.800000,0.200000,accel
1786611600032000,0.001000,0.002000,0.003000,gyro
1786611600034000,0.100000,-9.800000,0.200000,accel
1786611600034000,0.001000,0.002000,0.003000,gyro
1786611600036000,0.100000,-9.800000,0.200000,accel
1786611600036000,0.001000,0.002000,0.003000,gyro
1786611600038000,0.100000,-9.800000,0.200000,accel
1786611600038000,0.001000,0.002000,0.003000,gyro
1786611600040000,0.100000,-9.800000,0.200000,accel
1786611600040000,0.001000,0.002000,0.003000,gyro
1786611600042000,0.100000,-9.800000,0.200000,accel
1786611600042000,0.001000,0.002000,0.003000,gyro
1786611600044000,0.100000,-9.800000,0.200000,accel
1786611600044000,0.001000,0.002000,0.003000,gyro
1786611600046000,0.100000,-9.800000,0.200000,accel
1786611600046000,0.001000,0.002000,0.003000,gyro
1786611600048000,0.100000,-9.800000,0.200000,accel
1786611600048000,0.001000,0.002000,0.003000,gyro
1786611600050000,0.100000,-9.800000,0.200000,accel
1786611600050000,0.001000,0.002000,0.003000,gyro
1786611600052000,0.100000,-9.800000,0.200000,accel
1786611600052000,0.001000,0.002000,0.003000,gyro
1786611600054000,0.100000,-9.800000,0.200000,accel
1786611600054000,0.001000,0.002000,0.003000,gyro
1786611600056000,0.100000,-9.800000,0.200000,accel
1786611600056000,0.001000,0.002000,0.003000,gyro
1786611600058000,0.100000,-9.800000,0.200000,accel
1786611600058000,0.001000,0.002000,0.003000,gyro
1786611600060000,0.100000,-9.800000,0.200000,accel
1786611600060000,0.001000,0.002000,0.003000,gyro
1786611600062000,0.100000,-9.800000,0.200000,accel
1786611600062000,0.001000,0.002000,0.003000,gyro
1786611600064000,0.100000,-9.800000,0.200000,accel
1786611600064000,0.001000,0.002000,0.003000,gyro
1786611600066000,0.100000,-9.800000,0.200000,accel
1786611600066000,0.001000,0.002000,0.003000,gyro
1786611600068000,0.100000,-9.800000,0.200000,accel
1786611600068000,0.001000,0.002000,0.003000,gyro
1786611600070000,0.100000,-9.800000,0.200000,accel
1786611600070000,0.001000,0.002000,0.003000,gyro
1786611600072000,0.100000,-9.800000,0.200000,accel
1786611600072000,0.001000,0.002000,0.003000,gyro
1786611600074000,0.100000,-9.800000,0.200000,accel
1786611600074000,0.001000,0.002000,0.003000,gyro
1786611600076000,0.100000,-9.800000,0.200000,accel
1786611600076000,0.001000,0.002000,0.003000,gyro
1786611600078000,0.100000,-9.800000,0.200000,accel
1786611600078000,0.001000,0.002000,0.003000,gyro
1786611600080000,0.100000,-9.800000,0.200000,accel
1786611600080000,0.001000,0.002000,0.003000,gyro
1786611600082000,0.100000,-9.800000,0.200000,accel
1786611600082000,0.001000,0.002000,0.003000,gyro
1786611600084000,0.100000,-9.800000,0.200000,accel
1786611600084000,0.001000,0.002000,0.003000,gyro
1786611600086000,0.100000,-9.800000,0.200000,accel
1786611600086000,0.001000,0.002000,0.003000,gyro
1786611600088000,0.100000,-9.800000,0.200000,accel
1786611600088000,0.001000,0.002000,0.003000,gyro
1786611600090000,0.100000,-9.800000,0.200000,accel
1786611600090000,0.001000,0.002000,0.003000,gyro
1786611600092000,0.100000,-9.800000,0.200000,accel
1786611600092000,0.001000,0.002000,0.003000,gyro
1786611600094000,0.100000,-9.800000,0.200000,accel
1786611600094000,0.001000,0.002000,0.003000,gyro
1786611600096000,0.100000,-9.800000,0.200000,accel
1786611600096000,0.001000,0.002000,0.003000,gyro
1786611600098000,0.100000,-9.800000,0.200000,accel
1786611600098000,0.001000,0.002000,0.003000,gyro
1786611600100000,0.100000,-9.800000,0.200000,accel
1786611600100000,0.001000,0.002000,0.003000,gyro
1786611600102000,0.100000,-9.800000,0.200000,accel
1786611600102000,0.001000,0.002000,0.003000,gyro
1786611600104000,0.100000,-9.800000,0.200000,accel
1786611600104000,0.001000,0.002000,0.003000,gyro
1786611600106000,0.100000,-9.800000,0.200000,accel
1786611600106000,0.001000,0.002000,0.003000,gyro
1786611600108000,0.100000,-9.800000,0.200000,accel
1786611600108000,0.001000,0.002000,0.003000,gyro
1786611600110000,0.100000,-9.800000,0.200000,accel
1786611600110000,0.001000,0.002000,0.003000,gyro
1786611600112000,0.100000,-9.800000,0.200000,accel
1786611600112000,0.001000,0.002000,0.003000,gyro
1786611600114000,0.100000,-9.800000,0.200000,accel
1786611600114000,0.001000,0.002000,0.003000,gyro
1786611600116000,0.100000,-9.800000,0.200000,accel
1786611600116000,0.001000,0.002000,0.003000,gyro
1786611600118000,0.100000,-9.800000,0.200000,accel
1786611600118000,0.001000,0.002000,0.003000,gyro
1786611600120000,0.100000,-9.800000,0.200000,accel
1786611600120000,0.001000,0.002000,0.003000,gyro
1786611600122000,0.100000,-9.800000,0.200000,accel
1786611600122000,0.001000,0.002000,0.003000,gyro
1786611600124000,0.100000,-9.800000,0.200000,accel
1786611600124000,0.001000,0.002000,0.003000,gyro
1786611600126000,0.100000,-9.800000,0.200000,accel
1786611600126000,0.001000,0.002000,0.003000,gyro
1786611600128000,0.100000,-9.800000,0.200000,accel
1786611600128000,0.001000,0.002000,0.003000,gyro
1786611600130000,0.100000,-9.800000,0.200000,accel
1786611600130000,0.001000,0.002000,0.003000,gyro
1786611600132000,0.100000,-9.800000,0.200000,accel
1786611600132000,0.001000,0.002000,0.003000,gyro
1786611600134000,0.100000,-9.800000,0.200000,accel
1786611600134000,0.001000,0.002000,0.003000,gyro
1786611600136000,0.100000,-9.800000,0.200000,accel
1786611600136000,0.001000,0.002000,0.003000,gyro
