timestamp_us	,x	,y	,z	,type
1786611600000000,0.100000,-9.800000,0.200000,accel
1786611600000000,0.001000,0.002000,0.003000,gyro
1786611600001000,0.100000,-9.800000,0.200000,accel
1786611600001000,0.001000,0.002000,0.003000,gyro
1786611600002000,0.100000,-9.800000,0.200000,accel
1786611600002000,0.001000,0.002000,0.003000,gyro
1786611600003000,0.100000,-9.800000,0.200000,accel
1786611600003000,0.001000,0.002000,0.003000,gyro
1786611600004000,0.100000,-9.800000,0.200000,accel
1786611600004000,0.001000,0.002000,0.003000,gyro
1786611600005000,0.100000,-9.800000,0.200000,accel
1786611600005000,0.001000,0.002000,0.003000,gyro
1786611600006000,0.100000,-9.800000,0.200000,accel
1786611600006000,0.001000,0.002000,0.003000,gyro
1786611600007000,0.100000,-9.800000,0.200000,accel
1786611600007000,0.001000,0.002000,0.003000,gyro
1786611600008000,0.100000,-9.800000,0.200000,accel
1786611600008000,0.001000,0.002000,0.003000,gyro
1786611600009000,0.100000,-9.800000,0.200000,accel
1786611600009000,0.001000,0.002000,0.003000,gyro
1786611600010000,0.100000,-9.800000,0.200000,accel
1786611600010000,0.001000,0.002000,0.003000,gyro
1786611600011000,0.100000,-9.800000,0.200000,accel
1786611600011000,0.001000,0.002000,0.003000,gyro
1786611600012000,0.100000,-9.800000,0.200000,accel
1786611600012000,0.001000,0.002000,0.003000,gyro
1786611600013000,0.100000,-9.800000,0.200000,accel
1786611600013000,0.001000,0.002000,0.003000,gyro
1786611600014000,0.100000,-9.800000,0.200000,accel
1786611600014000,0.001000,0.002000,0.003000,gyro
1786611600015000,0.100000,-9.800000,0.200000,accel
1786611600015000,0.001000,0.002000,0.003000,gyro
1786611600016000,0.100000,-9.800000,0.200000,accel
1786611600016000,0.001000,0.002000,0.003000,gyro
1786611600017000,0.100000,-9.800000,0.200000,accel
1786611600017000,0.001000,0.002000,0.003000,gyro
1786611600018000,0.100000,-9.800000,0.200000,accel
1786611600018000,0.001000,0.002000,0.003000,gyro
1786611600019000,0.100000,-9.800000,0.200000,accel
1786611600019000,0.001000,0.002000,0.003000,gyro
1786611600020000,0.100000,-9.800000,0.200000,accel
1786611600020000,0.001000,0.002000,0.003000,gyro
1786611600021000,0.100000,-9.800000,0.200000,accel
1786611600021000,0.001000,0.002000,0.003000,gyro
1786611600022000,0.100000,-9.800000,0.200000,accel
1786611600022000,0.001000,0.002000,0.003000,gyro
1786611600023000,0.100000,-9.800000,0.200000,accel
1786611600023000,0.001000,0.002000,0.003000,gyro
1786611600024000,0.100000,-9.800000,0.200000,accel
1786611600024000,0.001000,0.002000,0.003000,gyro
1786611600025000,0.100000,-9.800000,0.200000,accel
1786611600025000,0.001000,0.002000,0.003000,gyro
1786611600026000,0.100000,-9.800000,0.200000,accel
1786611600026000,0.001000,0.002000,0.003000,gyro
1786611600027000,0.100000,-9.800000,0.200000,accel
1786611600027000,0.001000,0.002000,0.003000,gyro
1786611600028000,0.100000,-9.800000,0.200000,accel
1786611600028000,0.001000,0.002000,0.003000,gyro
1786611600029000,0.100000,-9.800000,0.200000,accel
1786611600029000,0.001000,0.002000,0.003000,gyro
1786611600030000,0.100000,-9.800000,0.200000,accel
1786611600030000,0.001000,0.002000,0.003000,gyro
1786611600031000,0.100000,-9.800000,0.200000,accel
1786611600031000,0.001000,0.002000,0.003000,gyro
1786611600032000,0.100000,-9.800000,0.200000,accel
1786611600032000,0.001000,0.002000,0.003000,gyro
1786611600033000,0.100000,-9.800000,0.200000,accel
1786611600033000,0.001000,0.002000,0.003000,gyro
1786611600034000,0.100000,-9.800000,0.200000,accel
1786611600034000,0.001000,0.002000,0.003000,gyro
1786611600035000,0.100000,-9.800000,0.200000,accel
1786611600035000,0.001000,0.002000,0.003000,gyro
1786611600036000,0.100000,-9.800000,0.200000,accel
1786611600036000,0.001000,0.002000,0.003000,gyro
1786611600037000,0.100000,-9.800000,0.200000,accel
1786611600037000,0.001000,0.002000,0.003000,gyro
1786611600038000,0.100000,-9.800000,0.200000,accel
1786611600038000,0.001000,0.002000,0.003000,gyro
1786611600039000,0.100000,-9.800000,0.200000,accel
1786611600039000,0.001000,0.002000,0.003000,gyro
1786611600040000,0.100000,-9.800000,0.200000,accel
1786611600040000,0.001000,0.002000,0.003000,gyro
1786611600041000,0.100000,-9.800000,0.200000,accel
1786611600041000,0.001000,0.002000,0.003000,gyro
1786611600042000,0.100000,-9.800000,0.200000,accel
1786611600042000,0.001000,0.002000,0.003000,gyro
1786611600043000,0.100000,-9.800000,0.200000,accel
1786611600043000,0.001000,0.002000,0.003000,gyro
1786611600044000,0.100000,-9.800000,0.200000,accel
1786611600044000,0.001000,0.002000,0.003000,gyro
1786611600045000,0.100000,-9.800000,0.200000,accel
1786611600045000,0.001000,0.002000,0.003000,gyro
1786611600046000,0.100000,-9.800000,0.200000,accel
1786611600046000,0.001000,0.002000,0.003000,gyro
1786611600047000,0.100000,-9.800000,0.200000,accel
1786611600047000,0.001000,0.002000,0.003000,gyro
1786611600048000,0.100000,-9.800000,0.200000,accel
1786611600048000,0.001000,0.002000,0.003000,gyro
1786611600049000,0.100000,-9.800000,0.200000,accel
1786611600049000,0.001000,0.002000,0.003000,gyro
1786611600050000,0.100000,-9.800000,0.200000,accel
1786611600050000,0.001000,0.002000,0.003000,gyro
1786611600051000,0.100000,-9.800000,0.200000,accel
1786611600051000,0.001000,0.002000,0.003000,gyro
1786611600052000,0.100000,-9.800000,0.200000,accel
1786611600052000,0.001000,0.002000,0.003000,gyro
1786611600053000,0.100000,-9.800000,0.200000,accel
1786611600053000,0.001000,0.002000,0.003000,gyro
1786611600054000,0.100000,-9.800000,0.200000,accel
1786611600054000,0.001000,0.002000,0.003000,gyro
1786611600055000,0.100000,-9.800000,0.200000,accel
1786611600055000,0.001000,0.002000,0.003000,gyro
1786611600056000,0.100000,-9.800000,0.200000,accel
1786611600056000,0.001000,0.002000,0.003000,gyro
1786611600057000,0.100000,-9.800000,0.200000,accel
1786611600057000,0.001000,0.002000,0.003000,gyro
1786611600058000,0.100000,-9.800000,0.200000,accel
1786611600058000,0.001000,0.002000,0.003000,gyro
1786611600059000,0.100000,-9.800000,0.200000,accel
1786611600059000,0.001000,0.002000,0.003000,gyro
1786611600060000,0.100000,-9.800000,0.200000,accel
1786611600060000,0.001000,0.002000,0.003000,gyro
1786611600061000,0.100000,-9.800000,0.200000,accel
1786611600061000,0.001000,0.002000,0.003000,gyro
1786611600062000,0.100000,-9.800000,0.200000,accel
1786611600062000,0.001000,0.002000,0.003000,gyro
1786611600063000,0.100000,-9.800000,0.200000,accel
1786611600063000,0.001000,0.002000,0.003000,gyro
1786611600064000,0.100000,-9.800000,0.200000,accel
1786611600064000,0.001000,0.002000,0.003000,gyro
1786611600065000,0.100000,-9.800000,0.200000,accel
1786611600065000,0.001000,0.002000,0.003000,gyro
1786611600066000,0.100000,-9.800000,0.200000,accel
1786611600066000,0.001000,0.002000,0.003000,gyro
1786611600067000,0.100000,-9.800000,0.200000,accel
1786611600067000,0.001000,0.002000,0.003000,gyro
1786611600068000,0.100000,-9.800000,0.200000,accel
1786611600068000,0.001000,0.002000,0.003000,gyro
